Gene,baseMean,log2FoldChange,pvalue,padj
C6orf58|352999,1.117469316,2.34668844,0.0222727955715251,0.0448876767087188
LOC541471|541471,982.2262063,2.346199344,3.03405209555819E-07,1.94819676668515E-06
CTSK|1513,1165.822137,2.345310066,1.49258264630976E-05,6.64139023406434E-05
CCDC19|25790,62.60299934,2.344764268,0.00104070881439099,0.00299525997027572
FOXN4|121643,38.99464398,2.343985134,0.00108219581524982,0.00310354966999016
PABPC4L|132430,59.74832586,2.343690224,1.15834119153772E-06,6.56767878999738E-06
C6orf123|26238,8.696341676,2.342772241,0.00330984135338158,0.00840108154758733
MATN4|8785,22.82235074,2.340990186,0.00416857036902369,0.0103033769666963
SIGLEC9|27180,306.9898346,2.339087793,5.36111727432555E-08,4.10034064648951E-07
CXCR6|10663,35.81818504,2.337933797,0.000253996445809048,0.000845296315253749
TAS1R1|80835,40.29845901,2.336771658,5.07633571796174E-07,3.09180422051671E-06
LRRC25|126364,478.508265,2.335540876,2.67640577779087E-08,2.19308373185251E-07
GAL3ST4|79690,2360.75164,2.335248519,5.32323562649754E-18,2.54158148513641E-16
EPHB4|2050,1433.951174,2.334247505,6.45125103593271E-09,5.9854825027468E-08
FAM86B2|653333,38.71893021,2.333885937,2.19288539354426E-05,9.3871651922049E-05
RPLP0|6175,33855.73966,2.333732945,4.80356646281183E-15,1.38292527613698E-13
FBP1|2203,375.1315671,2.333706192,2.7905844314399E-07,1.80750782733527E-06
SNCAIP|9627,1055.987539,2.332640964,2.63098139188953E-08,2.15769558112913E-07
TBX2|6909,1062.313875,2.330097652,9.78399833087391E-11,1.30876243969644E-09
NEXN|91624,233.0731567,2.325655741,2.74354306800599E-08,2.24523556380007E-07
CHST14|113189,1456.696013,2.324054316,1.70887194940834E-21,1.37918121473378E-19
SP140L|93349,413.5494865,2.323261829,4.32603735247511E-09,4.1514892782036E-08
RHOH|399,107.7008245,2.322162806,5.89515812513135E-07,3.54905446553242E-06
PROCR|10544,471.7485878,2.321964158,4.03939288534166E-10,4.75967314388242E-09
HMOX1|3162,6040.155785,2.321188886,6.98326563693836E-07,4.14462187295089E-06
HLA-DPB1|3115,5804.229336,2.320756591,6.67212280733534E-08,4.99606276516659E-07
GINS4|84296,342.963727,2.3176815,1.37291118621005E-11,2.14736814555172E-10
C20orf195|79025,15.03887413,2.317427111,0.00027972503647499,0.000922169924554107
SPAG4|6676,149.8822085,2.316387368,3.39911032663725E-05,0.000139531749166787
TYROBP|7305,3645.496381,2.316132476,6.60963489036468E-08,4.9531176146171E-07
SLC25A2|83884,1.867960085,2.31478443,0.00538854097321263,0.0129778457775376
FLNA|2316,25500.63313,2.313587689,7.58374730059478E-11,1.0330713395563E-09
GPC2|221914,657.858695,2.311606389,5.60869882443895E-05,0.000218249327465408
IGFBP1|3484,86.59381667,2.311504159,2.70873603332058E-05,0.000113633774133799
TTC26|79989,294.2215493,2.311122092,2.8536953183183E-13,6.01583923443078E-12
KCNE3|10008,482.5533473,2.310528783,3.38879491149551E-10,4.06507867212916E-09
PRF1|5551,211.2151619,2.310026826,6.67102761084327E-05,0.000255109935736629
C1QTNF6|114904,877.4673871,2.309791008,7.35382591680043E-08,5.434787283876E-07
SCARNA5|677775,10.00977095,2.307335223,0.0645674322641274,0.112913980139869
C13orf26|122046,68.21934048,2.307094547,0.000405827710203892,0.00128919807347215
DISC2|27184,0.932690600445495,2.30687427,0.0211958647378664,0.0430229437997163
RUNX3|864,233.0612532,2.306789465,1.21781925490609E-10,1.59257732934804E-09
IGSF5|150084,77.06813463,2.306250099,4.78202850255088E-07,2.93479312076691E-06
PDLIM3|27295,2605.436693,2.306193587,2.13556202371987E-08,1.78710871477365E-07
MUC13|56667,2.84727839,2.304054829,0.441383761892019,0.555698151761318
SGOL2|151246,497.9895952,2.30358288,6.07644739219372E-14,1.44701967590154E-12
ADAM8|101,408.0473596,2.301284006,4.39818304463457E-05,0.000175899964229642
FCAMR|83953,2.356066743,2.298992643,0.0621210410180788,0.109274101962127
LOC374443|374443,215.3509034,2.298856921,1.09604627686053E-14,2.9527425466987E-13
VAMP5|10791,2516.001602,2.298443843,1.27392255888208E-07,8.93227634979154E-07
CDT1|81620,606.8973973,2.298116321,7.48125501092762E-09,6.8326670409935E-08
UCN2|90226,19.49406921,2.294467299,0.00168753380931011,0.00462961735852405
STEAP1|26872,217.0334684,2.293552115,0.00016853971981751,0.00058671045940443
CAPG|822,4501.276436,2.292577503,2.70249110275324E-10,3.32451217353362E-09
MNS1|55329,345.9668396,2.287632939,4.50851040064129E-09,4.3180068082408E-08
CKLF|51192,1140.948324,2.286029762,4.86816919808908E-17,2.00217730622474E-15
LOXL3|84695,1112.474937,2.285657697,2.54508010413771E-20,1.72859331439128E-18
RNF122|79845,682.8508714,2.285549034,2.84769872513588E-09,2.82267526768479E-08
SYTL4|94121,1495.450231,2.285524147,3.38850017795602E-09,3.30104949154514E-08
RNASEH2A|10535,1510.782376,2.285522308,8.61321418629419E-13,1.66990348810099E-11
TMSB15B|286527,287.6650187,2.28359425,3.30996108573189E-08,2.64810615440408E-07
APOC2|344,3196.212688,2.282833986,3.38745014772446E-06,1.7480076484606E-05
VSTM1|284415,21.74793922,2.282367908,0.00287347672053234,0.0074059984583576
PLA2G5|5322,1160.771515,2.281523699,0.000443462457629723,0.00139610696021213
C5AR1|728,1029.217532,2.280604217,3.81356106056158E-06,1.94140351800402E-05
CD151|977,8605.525656,2.280313318,1.60740086681386E-11,2.47250042424024E-10
FCGR3B|2215,111.1244336,2.280099015,0.000273472331788103,0.000903254761619985
OSMR|9180,1689.903047,2.279586528,1.06475337112694E-06,6.09810069109133E-06
C14orf64|388011,101.5500667,2.279041131,3.25993008849142E-09,3.19191834908178E-08
NCF1C|654817,101.2201628,2.278383887,9.72471343393807E-07,5.6144866036286E-06
FANCC|2176,544.4052982,2.278196546,6.25320215157746E-16,2.09689134449343E-14
TCTEX1D1|200132,411.554088,2.276787355,0.000988723992017753,0.00286401818321526
LAMA4|3910,3215.04891,2.275406266,1.09942843752268E-08,9.64051602298878E-08
TAP1|6890,5675.783175,2.271577039,8.228837541236E-08,6.03521092520537E-07
HMGB2|3148,4383.416332,2.270747266,9.03852357335394E-15,2.48353392031943E-13
TIMELESS|8914,1485.398817,2.270034278,3.83210289857526E-13,7.87193107674316E-12
KDELC2|143888,1725.191795,2.269251991,1.49820827631345E-14,3.94255654049251E-13
IGFBP4|3487,4896.364338,2.267488145,2.73274480222933E-08,2.23734781367578E-07
CP|1356,2509.328348,2.262702573,0.000253788183911929,0.000844748969711338
ANKFN1|162282,90.10125973,2.261426172,1.19423169951412E-06,6.74539831681634E-06
SLFN13|146857,188.4927726,2.259816626,0.00011788873612382,0.000426233520354706
SPON2|10417,759.9116397,2.259429703,4.70444030665549E-05,0.000186409098346503
CNN3|1266,32121.74426,2.257224958,1.37854576169082E-15,4.37458950808038E-14
GPBAR1|151306,22.16713839,2.256467858,3.90823231998242E-07,2.44534235027635E-06
MFRP|83552,1923.840239,2.254809727,1.46874420916643E-09,1.54222139633158E-08
HCP5|10866,816.2873605,2.253496819,1.0260992959245E-05,4.73389842599563E-05
TRIM21|6737,760.1617674,2.253171976,1.96377871197285E-14,5.05754768650236E-13
SP6|80320,88.77753628,2.251592994,1.55184992905833E-05,6.87071776889147E-05
GJC1|10052,1102.995665,2.250366043,1.04165400911269E-17,4.7170067073446E-16
MDM2|4193,6568.387172,2.249941223,0.0187844774474633,0.038757247122534
MYCBP|26292,703.1100558,2.249473598,1.41129382010231E-18,7.25931906558757E-17
CD74|972,74383.61128,2.248521411,5.00671683296411E-08,3.85066032659668E-07
SLC2A9|56606,109.3269834,2.24677774,7.44048695671439E-11,1.01570808852133E-09
